time,Num arrivals,Queue length,Available agents,num_completed,total_wait,abandon,is_cycle_start,cycle
1598,0,0,15,0.0,0.0,0.0,False,11
1599,0,0,15,0.0,0.0,0.0,False,11
1600,0,0,15,0.0,0.0,0.0,False,11
1601,1,0,14,1.0,0.0,0.0,False,11
1602,0,0,14,0.0,0.0,0.0,False,11
1603,1,0,13,1.0,0.0,0.0,False,11
1604,0,0,13,0.0,0.0,0.0,False,11
1605,0,0,13,0.0,0.0,0.0,False,11
1606,0,0,13,0.0,0.0,0.0,False,11
1607,0,0,14,0.0,0.0,0.0,False,11
1608,0,0,14,0.0,0.0,0.0,False,11
1609,1,0,13,1.0,0.0,0.0,False,11
1610,0,0,13,0.0,0.0,0.0,False,11
1611,0,0,13,0.0,0.0,0.0,False,11
1612,0,0,14,0.0,0.0,0.0,False,11
1613,1,0,13,1.0,0.0,0.0,False,11
1614,0,0,13,0.0,0.0,0.0,False,11
1615,1,0,12,1.0,0.0,0.0,False,11
1616,1,0,12,1.0,0.0,0.0,False,11
1617,1,0,11,1.0,0.0,0.0,False,11
1618,3,0,8,3.0,0.0,0.0,False,11
1619,0,0,9,0.0,0.0,0.0,False,11
1620,0,0,9,0.0,0.0,0.0,False,11
1621,0,0,9,0.0,0.0,0.0,False,11
1622,0,0,9,0.0,0.0,0.0,False,11
1623,0,0,9,0.0,0.0,0.0,False,11
1624,0,0,9,0.0,0.0,0.0,False,11
1625,0,0,9,0.0,0.0,0.0,False,11
1626,0,0,9,0.0,0.0,0.0,False,11
1627,0,0,9,0.0,0.0,0.0,False,11
1628,0,0,9,0.0,0.0,0.0,False,11
1629,0,0,9,0.0,0.0,0.0,False,11
1630,0,0,9,0.0,0.0,0.0,False,11
1631,1,0,8,1.0,0.0,0.0,False,11
1632,1,0,7,1.0,0.0,0.0,False,11
1633,0,0,7,0.0,0.0,0.0,False,11
1634,0,0,7,0.0,0.0,0.0,False,11
1635,0,0,7,0.0,0.0,0.0,False,11
1636,0,0,9,0.0,0.0,0.0,False,11
1637,1,0,8,1.0,0.0,0.0,False,11
1638,0,0,9,0.0,0.0,0.0,False,11
1639,1,0,9,1.0,0.0,0.0,False,11
1640,0,0,9,0.0,0.0,0.0,False,11
1641,0,0,10,0.0,0.0,0.0,False,11
1642,0,0,10,0.0,0.0,0.0,False,11
1643,0,0,12,0.0,0.0,0.0,False,11
1644,0,0,12,0.0,0.0,0.0,False,11
1645,0,0,12,0.0,0.0,0.0,False,11
1646,0,0,12,0.0,0.0,0.0,False,11
1647,0,0,13,0.0,0.0,0.0,False,11
1648,1,0,12,1.0,0.0,0.0,False,11
1649,0,0,13,0.0,0.0,0.0,False,11
1650,0,0,13,0.0,0.0,0.0,False,11
1651,1,0,12,1.0,0.0,0.0,False,11
1652,0,0,12,0.0,0.0,0.0,False,11
1653,0,0,12,0.0,0.0,0.0,False,11
1654,0,0,12,0.0,0.0,0.0,False,11
1655,0,0,12,0.0,0.0,0.0,False,11
1656,0,0,15,0.0,0.0,0.0,False,11
1657,0,0,15,0.0,0.0,0.0,False,11
1658,0,0,15,0.0,0.0,0.0,False,11
1659,0,0,15,0.0,0.0,0.0,False,11
1660,0,0,15,0.0,0.0,0.0,False,11
1661,0,0,15,0.0,0.0,0.0,False,11
1662,0,0,16,0.0,0.0,0.0,False,11
1663,0,0,16,0.0,0.0,0.0,False,11
1664,0,0,17,0.0,0.0,0.0,False,11
1665,1,0,17,1.0,0.0,0.0,False,11
1666,0,0,17,0.0,0.0,0.0,False,11
1667,0,0,17,0.0,0.0,0.0,False,11
1668,0,0,17,0.0,0.0,0.0,False,11
1669,0,0,17,0.0,0.0,0.0,False,11
1670,0,0,17,0.0,0.0,0.0,False,11
1671,0,0,17,0.0,0.0,0.0,False,11
1672,0,0,17,0.0,0.0,0.0,False,11
1673,0,0,17,0.0,0.0,0.0,False,11
1674,1,0,16,1.0,0.0,0.0,False,11
1675,0,0,17,0.0,0.0,0.0,False,11
1676,0,0,18,0.0,0.0,0.0,False,11
1677,1,0,19,1.0,0.0,0.0,False,11
1678,1,0,18,1.0,0.0,0.0,False,11
1679,1,0,17,1.0,0.0,0.0,False,11
1680,0,0,17,0.0,0.0,0.0,False,11
1681,0,0,18,0.0,0.0,0.0,False,11
1682,0,0,18,0.0,0.0,0.0,False,11
1683,0,0,18,0.0,0.0,0.0,False,11
1684,2,0,16,2.0,0.0,0.0,False,11
1685,0,0,16,0.0,0.0,0.0,False,11
1686,0,0,16,0.0,0.0,0.0,False,11
1687,0,0,16,0.0,0.0,0.0,False,11
1688,0,0,18,0.0,0.0,0.0,False,11
1689,0,0,18,0.0,0.0,0.0,False,11
1690,0,0,19,0.0,0.0,0.0,False,11
1691,0,0,19,0.0,0.0,0.0,False,11
1692,0,0,19,0.0,0.0,0.0,False,11
1693,0,0,19,0.0,0.0,0.0,False,11
1694,1,0,19,1.0,0.0,0.0,False,11
1695,0,0,19,0.0,0.0,0.0,False,11
1696,0,0,19,0.0,0.0,0.0,False,11
1697,0,0,19,0.0,0.0,0.0,False,11
1698,0,0,20,0.0,0.0,0.0,False,11
1699,0,0,22,0.0,0.0,0.0,False,11
1700,0,0,22,0.0,0.0,0.0,False,11
1701,0,0,22,0.0,0.0,0.0,False,11
1702,0,0,22,0.0,0.0,0.0,False,11
1703,0,0,22,0.0,0.0,0.0,False,11
1704,0,0,22,0.0,0.0,0.0,False,11
1705,0,0,23,0.0,0.0,0.0,False,11
1706,0,0,24,0.0,0.0,0.0,False,11
1707,0,0,24,0.0,0.0,0.0,False,11
1708,0,0,24,0.0,0.0,0.0,False,11
1709,0,0,24,0.0,0.0,0.0,False,11
1710,1,0,24,1.0,0.0,0.0,False,11
1711,0,0,24,0.0,0.0,0.0,False,11
1712,1,0,25,1.0,0.0,0.0,False,11
1713,0,0,25,0.0,0.0,0.0,False,11
1714,0,0,25,0.0,0.0,0.0,False,11
1715,0,0,26,0.0,0.0,0.0,False,11
1716,1,0,25,1.0,0.0,0.0,False,11
1717,0,0,26,0.0,0.0,0.0,False,11
1718,0,0,27,0.0,0.0,0.0,False,11
1719,0,0,27,0.0,0.0,0.0,False,11
1720,0,0,28,0.0,0.0,0.0,False,11
1721,1,0,27,1.0,0.0,0.0,False,11
1722,1,0,27,1.0,0.0,0.0,False,11
1723,0,0,27,0.0,0.0,0.0,False,11
1724,0,0,27,0.0,0.0,0.0,False,11
1725,2,0,25,2.0,0.0,0.0,False,11
1726,0,0,26,0.0,0.0,0.0,False,11
1727,0,0,26,0.0,0.0,0.0,False,11
1728,0,0,27,0.0,0.0,0.0,False,11
1729,0,0,27,0.0,0.0,0.0,False,11
1730,0,0,28,0.0,0.0,0.0,False,11
1731,1,0,27,1.0,0.0,0.0,False,11
1732,0,0,27,0.0,0.0,0.0,False,11
1733,0,0,27,0.0,0.0,0.0,False,11
1734,0,0,27,0.0,0.0,0.0,False,11
1735,0,0,27,0.0,0.0,0.0,False,11
1736,0,0,27,0.0,0.0,0.0,False,11
1737,0,0,27,0.0,0.0,0.0,False,11
1738,1,0,26,1.0,0.0,0.0,False,11
1739,0,0,27,0.0,0.0,0.0,False,11
1740,0,0,27,0.0,0.0,0.0,False,11
1741,0,0,27,0.0,0.0,0.0,False,11
1742,0,0,28,0.0,0.0,0.0,False,11
1743,0,0,28,0.0,0.0,0.0,False,11
1744,1,0,27,1.0,0.0,0.0,False,11
1745,0,0,27,0.0,0.0,0.0,False,11
1746,0,0,27,0.0,0.0,0.0,False,11
1747,2,0,25,2.0,0.0,0.0,False,11
1748,0,0,25,0.0,0.0,0.0,False,11
1749,1,0,24,1.0,0.0,0.0,False,11
1750,0,0,25,0.0,0.0,0.0,False,11
1751,0,0,25,0.0,0.0,0.0,False,11
1752,0,0,26,0.0,0.0,0.0,False,11
1753,2,0,24,2.0,0.0,0.0,False,11
1754,1,0,23,1.0,0.0,0.0,False,11
1755,0,0,23,0.0,0.0,0.0,False,11
1756,0,0,23,0.0,0.0,0.0,False,11
1757,0,0,24,0.0,0.0,0.0,False,11
1758,0,0,24,0.0,0.0,0.0,False,11
1759,0,0,24,0.0,0.0,0.0,False,11
1760,1,0,23,1.0,0.0,0.0,False,11
1761,0,0,23,0.0,0.0,0.0,False,11
1762,1,0,23,1.0,0.0,0.0,False,11
1763,0,0,23,0.0,0.0,0.0,False,11
1764,0,0,23,0.0,0.0,0.0,False,11
1765,0,0,23,0.0,0.0,0.0,False,11
1766,0,0,23,0.0,0.0,0.0,False,11
1767,1,0,24,1.0,0.0,0.0,False,11
1768,0,0,24,0.0,0.0,0.0,False,11
1769,0,0,24,0.0,0.0,0.0,False,11
1770,1,0,23,1.0,0.0,0.0,False,11
1771,1,0,22,1.0,0.0,0.0,False,11
1772,0,0,22,0.0,0.0,0.0,False,11
1773,0,0,22,0.0,0.0,0.0,False,11
1774,0,0,22,0.0,0.0,0.0,False,11
1775,0,0,22,0.0,0.0,0.0,False,11
1776,1,0,22,1.0,0.0,0.0,False,11
1777,0,0,22,0.0,0.0,0.0,False,11
1778,0,0,22,0.0,0.0,0.0,False,11
1779,0,0,23,0.0,0.0,0.0,False,11
1780,0,0,23,0.0,0.0,0.0,False,11
1781,0,0,24,0.0,0.0,0.0,False,11
1782,1,0,23,1.0,0.0,0.0,False,11
1783,0,0,23,0.0,0.0,0.0,False,11
1784,0,0,23,0.0,0.0,0.0,False,11
1785,0,0,23,0.0,0.0,0.0,False,11
1786,1,0,22,1.0,0.0,0.0,False,11
1787,0,0,22,0.0,0.0,0.0,False,11
1788,0,0,22,0.0,0.0,0.0,False,11
1789,0,0,22,0.0,0.0,0.0,False,11
1790,1,0,21,1.0,0.0,0.0,False,11
1791,0,0,21,0.0,0.0,0.0,False,11
1792,0,0,21,0.0,0.0,0.0,False,11
1793,1,0,20,1.0,0.0,0.0,False,11
1794,1,0,19,1.0,0.0,0.0,False,11
1795,0,0,19,0.0,0.0,0.0,False,11
1796,0,0,19,0.0,0.0,0.0,False,11
1797,0,0,19,0.0,0.0,0.0,False,11
1798,0,0,19,0.0,0.0,0.0,False,11
1799,0,0,20,0.0,0.0,0.0,False,11
1800,1,0,19,1.0,0.0,0.0,False,11
1801,0,0,20,0.0,0.0,0.0,False,11
1802,0,0,20,0.0,0.0,0.0,False,11
1803,0,0,21,0.0,0.0,0.0,False,11
1804,0,0,21,0.0,0.0,0.0,False,11
1805,1,0,20,1.0,0.0,0.0,False,11
1806,1,0,19,1.0,0.0,0.0,False,11
1807,1,0,18,1.0,0.0,0.0,False,11
1808,0,0,18,0.0,0.0,0.0,False,11
1809,0,0,18,0.0,0.0,0.0,False,11
1810,0,0,18,0.0,0.0,0.0,False,11
1811,0,0,18,0.0,0.0,0.0,False,11
1812,2,0,16,2.0,0.0,0.0,False,11
1813,1,0,15,1.0,0.0,0.0,False,11
1814,0,0,15,0.0,0.0,0.0,False,11
1815,0,0,15,0.0,0.0,0.0,False,11
1816,1,0,14,1.0,0.0,0.0,False,11
1817,0,0,14,0.0,0.0,0.0,False,11
1818,0,0,14,0.0,0.0,0.0,False,11
1819,1,0,13,1.0,0.0,0.0,False,11
1820,0,0,14,0.0,0.0,0.0,False,11
1821,0,0,14,0.0,0.0,0.0,False,11
1822,0,0,14,0.0,0.0,0.0,False,11
1823,0,0,15,0.0,0.0,0.0,False,11
1824,1,0,14,1.0,0.0,0.0,False,11
1825,0,0,15,0.0,0.0,0.0,False,11
1826,0,0,15,0.0,0.0,0.0,False,11
1827,0,0,15,0.0,0.0,0.0,False,11
1828,1,0,14,1.0,0.0,0.0,False,11
1829,0,0,14,0.0,0.0,0.0,False,11
1830,0,0,15,0.0,0.0,0.0,False,11
1831,0,0,16,0.0,0.0,0.0,False,11
1832,0,0,16,0.0,0.0,0.0,False,11
1833,0,0,16,0.0,0.0,0.0,False,11
1834,0,0,16,0.0,0.0,0.0,False,11
1835,0,0,16,0.0,0.0,0.0,False,11
1836,0,0,16,0.0,0.0,0.0,False,11
1837,0,0,16,0.0,0.0,0.0,False,11
1838,1,0,15,1.0,0.0,0.0,False,11
1839,0,0,17,0.0,0.0,0.0,False,11
1840,0,0,17,0.0,0.0,0.0,False,11
1841,2,0,15,2.0,0.0,0.0,False,11
1842,0,0,15,0.0,0.0,0.0,False,11
1843,0,0,15,0.0,0.0,0.0,False,11
1844,0,0,15,0.0,0.0,0.0,False,11
1845,0,0,15,0.0,0.0,0.0,False,11
1846,0,0,15,0.0,0.0,0.0,False,11
1847,0,0,15,0.0,0.0,0.0,False,11
1848,0,0,15,0.0,0.0,0.0,False,11
1849,1,0,14,1.0,0.0,0.0,False,11
1850,2,0,12,2.0,0.0,0.0,False,11
1851,0,0,12,0.0,0.0,0.0,False,11
1852,0,0,12,0.0,0.0,0.0,False,11
1853,2,0,10,2.0,0.0,0.0,False,11
1854,0,0,13,0.0,0.0,0.0,False,11
1855,0,0,13,0.0,0.0,0.0,False,11
1856,0,0,13,0.0,0.0,0.0,False,11
1857,0,0,13,0.0,0.0,0.0,False,11
1858,0,0,14,0.0,0.0,0.0,False,11
1859,1,0,14,1.0,0.0,0.0,False,11
1860,0,0,15,0.0,0.0,0.0,False,11
1861,0,0,15,0.0,0.0,0.0,False,11
1862,0,0,15,0.0,0.0,0.0,False,11
1863,1,0,14,1.0,0.0,0.0,False,11
1864,0,0,14,0.0,0.0,0.0,False,11
1865,0,0,14,0.0,0.0,0.0,False,11
1866,0,0,14,0.0,0.0,0.0,False,11
1867,2,0,14,2.0,0.0,0.0,False,11
1868,1,0,13,1.0,0.0,0.0,False,11
1869,0,0,14,0.0,0.0,0.0,False,11
1870,0,0,14,0.0,0.0,0.0,False,11
1871,1,0,13,1.0,0.0,0.0,False,11
1872,1,0,13,1.0,0.0,0.0,False,11
1873,0,0,13,0.0,0.0,0.0,False,11
1874,1,0,12,1.0,0.0,0.0,False,11
1875,1,0,11,1.0,0.0,0.0,False,11
1876,0,0,11,0.0,0.0,0.0,False,11
1877,0,0,12,0.0,0.0,0.0,False,11
1878,0,0,13,0.0,0.0,0.0,False,11
1879,2,0,11,2.0,0.0,0.0,False,11
1880,0,0,11,0.0,0.0,0.0,False,11
1881,0,0,11,0.0,0.0,0.0,False,11
1882,1,0,10,1.0,0.0,0.0,False,11
1883,0,0,10,0.0,0.0,0.0,False,11
1884,0,0,11,0.0,0.0,0.0,False,11
1885,0,0,11,0.0,0.0,0.0,False,11
1886,0,0,11,0.0,0.0,0.0,False,11
1887,0,0,11,0.0,0.0,0.0,False,11
1888,0,0,12,0.0,0.0,0.0,False,11
1889,0,0,12,0.0,0.0,0.0,False,11
1890,0,0,12,0.0,0.0,0.0,False,11
1891,1,0,11,1.0,0.0,0.0,False,11
1892,0,0,11,0.0,0.0,0.0,False,11
1893,1,0,10,1.0,0.0,0.0,False,11
1894,0,0,10,0.0,0.0,0.0,False,11
1895,1,0,9,1.0,0.0,0.0,False,11
1896,0,0,9,0.0,0.0,0.0,False,11
1897,1,0,8,1.0,0.0,0.0,False,11
1898,0,0,8,0.0,0.0,0.0,False,11
1899,0,0,8,0.0,0.0,0.0,False,11
1900,0,0,8,0.0,0.0,0.0,False,11
1901,0,0,8,0.0,0.0,0.0,False,11
1902,0,0,8,0.0,0.0,0.0,False,11
1903,0,0,9,0.0,0.0,0.0,False,11
1904,0,0,9,0.0,0.0,0.0,False,11
1905,0,0,9,0.0,0.0,0.0,False,11
1906,0,0,9,0.0,0.0,0.0,False,11
1907,0,0,9,0.0,0.0,0.0,False,11
1908,0,0,9,0.0,0.0,0.0,False,11
1909,1,0,8,1.0,0.0,0.0,False,11
1910,0,0,8,0.0,0.0,0.0,False,11
1911,0,0,9,0.0,0.0,0.0,False,11
1912,0,0,9,0.0,0.0,0.0,False,11
1913,0,0,9,0.0,0.0,0.0,False,11
1914,0,0,9,0.0,0.0,0.0,False,11
1915,0,0,9,0.0,0.0,0.0,False,11
1916,1,0,8,1.0,0.0,0.0,False,11
1917,1,0,8,1.0,0.0,0.0,False,11
1918,0,0,8,0.0,0.0,0.0,False,11
1919,0,0,8,0.0,0.0,0.0,False,11
1920,1,0,8,1.0,0.0,0.0,False,11
1921,0,0,8,0.0,0.0,0.0,False,11
1922,0,0,10,0.0,0.0,0.0,False,11
1923,0,0,10,0.0,0.0,0.0,False,11
1924,0,0,10,0.0,0.0,0.0,False,11
1925,0,0,10,0.0,0.0,0.0,False,11
1926,1,0,10,1.0,0.0,0.0,False,11
1927,0,0,10,0.0,0.0,0.0,False,11
1928,0,0,10,0.0,0.0,0.0,False,11
1929,0,0,10,0.0,0.0,0.0,False,11
1930,0,0,10,0.0,0.0,0.0,False,11
1931,0,0,10,0.0,0.0,0.0,False,11
1932,0,0,10,0.0,0.0,0.0,False,11
1933,0,0,10,0.0,0.0,0.0,False,11
1934,0,0,11,0.0,0.0,0.0,False,11
1935,0,0,11,0.0,0.0,0.0,False,11
1936,1,0,11,1.0,0.0,0.0,False,11
1937,0,0,11,0.0,0.0,0.0,False,11
1938,0,0,11,0.0,0.0,0.0,False,11
1939,0,0,11,0.0,0.0,0.0,False,11
1940,0,0,11,0.0,0.0,0.0,False,11
1941,0,0,11,0.0,0.0,0.0,False,11
1942,1,0,10,1.0,0.0,0.0,False,11
1943,0,0,10,0.0,0.0,0.0,False,11
1944,0,0,10,0.0,0.0,0.0,False,11
1945,0,0,10,0.0,0.0,0.0,False,11
1946,1,0,9,1.0,0.0,0.0,False,11
1947,0,0,9,0.0,0.0,0.0,False,11
1948,0,0,9,0.0,0.0,0.0,False,11
1949,0,0,9,0.0,0.0,0.0,False,11
1950,3,0,6,3.0,0.0,0.0,False,11
1951,0,0,6,0.0,0.0,0.0,False,11
1952,0,0,6,0.0,0.0,0.0,False,11
1953,0,0,7,0.0,0.0,0.0,False,11
1954,0,0,7,0.0,0.0,0.0,False,11
1955,0,0,7,0.0,0.0,0.0,False,11
1956,0,0,9,0.0,0.0,0.0,False,11
1957,0,0,9,0.0,0.0,0.0,False,11
1958,3,0,6,3.0,0.0,0.0,False,11
1959,0,0,6,0.0,0.0,0.0,False,11
1960,0,0,7,0.0,0.0,0.0,False,11
1961,2,0,5,2.0,0.0,0.0,False,11
1962,0,0,5,0.0,0.0,0.0,False,11
1963,0,0,6,0.0,0.0,0.0,False,11
1964,1,0,7,1.0,0.0,0.0,False,11
1965,3,0,4,3.0,0.0,0.0,False,11
1966,1,0,4,1.0,0.0,0.0,False,11
1967,0,0,4,0.0,0.0,0.0,False,11
1968,0,0,5,0.0,0.0,0.0,False,11
1969,0,0,5,0.0,0.0,0.0,False,11
1970,1,0,4,1.0,0.0,0.0,False,11
1971,0,0,4,0.0,0.0,0.0,False,11
1972,0,0,4,0.0,0.0,0.0,False,11
1973,0,0,4,0.0,0.0,0.0,False,11
1974,0,0,5,0.0,0.0,0.0,False,11
1975,1,0,4,1.0,0.0,0.0,False,11
1976,0,0,4,0.0,0.0,0.0,False,11
1977,1,0,4,1.0,0.0,0.0,False,11
1978,2,0,2,2.0,0.0,0.0,False,11
1979,0,0,2,0.0,0.0,0.0,False,11
1980,1,0,2,1.0,0.0,0.0,False,11
1981,0,0,2,0.0,0.0,0.0,False,11
1982,1,0,2,1.0,0.0,0.0,False,11
1983,2,0,0,2.0,0.0,0.0,False,11
1984,1,1,0,0.0,0.0,0.0,False,11
1985,0,0,0,1.0,1.0,0.0,False,11
1986,1,1,0,0.0,0.0,0.0,False,11
1987,0,1,0,0.0,0.0,0.0,False,11
1988,0,0,0,1.0,2.0,0.0,False,11
1989,1,0,0,1.0,0.0,0.0,False,11
1990,0,0,0,0.0,0.0,0.0,True,12
1991,0,0,1,0.0,0.0,0.0,False,12
1992,0,0,2,0.0,0.0,0.0,False,12
1993,0,0,2,0.0,0.0,0.0,False,12
1994,1,0,1,1.0,0.0,0.0,False,12
1995,1,0,1,1.0,0.0,0.0,False,12
1996,0,0,1,0.0,0.0,0.0,False,12
1997,0,0,1,0.0,0.0,0.0,False,12
1998,2,0,1,2.0,0.0,0.0,False,12
1999,0,0,1,0.0,0.0,0.0,False,12
2000,0,0,2,0.0,0.0,0.0,False,12
2001,0,0,2,0.0,0.0,0.0,False,12
2002,0,0,2,0.0,0.0,0.0,False,12
2003,0,0,2,0.0,0.0,0.0,False,12
2004,0,0,2,0.0,0.0,0.0,False,12
2005,0,0,2,0.0,0.0,0.0,False,12
2006,1,0,1,1.0,0.0,0.0,False,12
2007,0,0,1,0.0,0.0,0.0,False,12
2008,0,0,2,0.0,0.0,0.0,False,12
2009,0,0,2,0.0,0.0,0.0,False,12
2010,1,0,1,1.0,0.0,0.0,False,12
2011,0,0,2,0.0,0.0,0.0,False,12
2012,0,0,2,0.0,0.0,0.0,False,12
2013,0,0,2,0.0,0.0,0.0,False,12
2014,1,0,3,1.0,0.0,0.0,False,12
2015,2,0,1,2.0,0.0,0.0,False,12
2016,0,0,1,0.0,0.0,0.0,False,12
2017,0,0,3,0.0,0.0,0.0,False,12
2018,0,0,3,0.0,0.0,0.0,False,12
2019,0,0,3,0.0,0.0,0.0,False,12
2020,0,0,3,0.0,0.0,0.0,False,12
2021,0,0,3,0.0,0.0,0.0,False,12
2022,1,0,2,1.0,0.0,0.0,False,12
2023,0,0,2,0.0,0.0,0.0,False,12
2024,1,0,1,1.0,0.0,0.0,False,12
2025,0,0,2,0.0,0.0,0.0,False,12
2026,3,1,0,2.0,0.0,0.0,False,12
2027,1,1,0,1.0,1.0,0.0,False,12
2028,1,2,0,0.0,0.0,0.0,False,12
2029,1,2,0,1.0,2.0,0.0,False,12
2030,1,3,0,0.0,0.0,0.0,False,12
2031,0,3,0,0.0,0.0,0.0,False,12
2032,0,3,0,0.0,0.0,0.0,False,12
2033,1,4,0,0.0,0.0,0.0,False,12
2034,0,4,0,0.0,0.0,0.0,False,12
2035,1,4,0,1.0,7.0,0.0,False,12
2036,0,3,0,1.0,7.0,0.0,False,12
2037,1,4,0,0.0,0.0,0.0,False,12
2038,0,4,0,0.0,0.0,0.0,False,12
2039,0,4,0,0.0,0.0,0.0,False,12
2040,0,4,0,0.0,0.0,0.0,False,12
2041,0,3,0,1.0,11.0,0.0,False,12
2042,0,3,0,0.0,0.0,0.0,False,12
2043,0,3,0,0.0,0.0,0.0,False,12
2044,0,3,0,0.0,0.0,0.0,False,12
2045,0,3,0,0.0,0.0,0.0,False,12
2046,0,3,0,0.0,0.0,0.0,False,12
2047,0,3,0,0.0,0.0,0.0,False,12
2048,0,3,0,0.0,0.0,0.0,False,12
2049,0,3,0,0.0,0.0,0.0,False,12
2050,0,2,0,1.0,17.0,0.0,False,12
2051,0,1,0,1.0,16.0,0.0,False,12
2052,0,1,0,0.0,0.0,0.0,False,12
2053,0,1,0,0.0,0.0,0.0,False,12
2054,1,2,0,0.0,0.0,0.0,False,12
2055,0,2,0,0.0,0.0,0.0,False,12
2056,0,2,0,0.0,0.0,0.0,False,12
2057,3,4,0,1.0,20.0,0.0,False,12
2058,1,5,0,0.0,0.0,0.0,False,12
2059,0,4,0,1.0,5.0,0.0,False,12
2060,0,4,0,0.0,0.0,0.0,False,12
2061,0,4,0,0.0,0.0,0.0,False,12
2062,0,4,0,0.0,0.0,0.0,False,12
2063,0,4,0,0.0,0.0,0.0,False,12
2064,1,5,0,0.0,0.0,0.0,False,12
2065,0,5,0,0.0,0.0,0.0,False,12
2066,0,5,0,0.0,0.0,0.0,False,12
2067,0,5,0,0.0,0.0,0.0,False,12
