,time,wait,abandon
590,1807,0,0
591,1812,0,0
592,1812,0,0
593,1813,0,0
594,1816,0,0
595,1819,0,0
596,1824,0,0
597,1828,0,0
598,1838,0,0
599,1841,0,0
600,1841,0,0
601,1849,0,0
602,1850,0,0
603,1850,0,0
604,1853,0,0
605,1853,0,0
606,1859,0,0
607,1863,0,0
608,1867,0,0
609,1867,0,0
610,1868,0,0
611,1871,0,0
612,1872,0,0
613,1874,0,0
614,1875,0,0
615,1879,0,0
616,1879,0,0
617,1882,0,0
618,1891,0,0
619,1893,0,0
620,1895,0,0
621,1897,0,0
622,1909,0,0
623,1916,0,0
624,1917,0,0
625,1920,0,0
626,1926,0,0
627,1936,0,0
628,1942,0,0
629,1946,0,0
630,1950,0,0
631,1950,0,0
632,1950,0,0
633,1958,0,0
634,1958,0,0
635,1958,0,0
636,1961,0,0
637,1961,0,0
638,1964,0,0
639,1965,0,0
640,1965,0,0
641,1965,0,0
642,1966,0,0
643,1970,0,0
644,1975,0,0
645,1977,0,0
646,1978,0,0
647,1978,0,0
648,1980,0,0
649,1982,0,0
650,1983,0,0
651,1983,0,0
652,1985,1,0
653,1988,2,0
654,1989,0,0
655,1994,0,0
656,1995,0,0
657,1998,0,0
658,1998,0,0
659,2006,0,0
660,2010,0,0
661,2014,0,0
662,2015,0,0
663,2015,0,0
664,2022,0,0
665,2024,0,0
666,2026,0,0
667,2026,0,0
668,2027,1,0
669,2029,2,0
670,2035,7,0
671,2036,7,0
672,2041,11,0
673,2050,17,0
674,2051,16,0
675,2057,20,0
676,2059,5,0
677,2068,11,0
678,2070,13,0
679,2071,14,0
680,2071,13,0
681,2073,2,1
682,2073,9,0
683,2076,8,0
684,2080,10,0
685,2083,12,0
686,2083,6,0
687,2091,8,0
688,2109,24,0
689,2113,21,0
690,2113,18,0
691,2123,25,0
692,2123,21,0
693,2123,21,0
694,2130,24,0
695,2132,19,0
696,2134,20,0
697,2138,18,0
698,2140,18,0
699,2141,18,0
700,2144,15,0
701,2145,13,0
702,2149,16,0
703,2150,16,0
704,2151,14,0
705,2155,14,0
706,2157,14,0
707,2158,15,0
708,2159,15,0
709,2162,16,0
710,2163,15,0
711,2169,20,0
712,2170,18,0
713,2174,22,0
714,2175,19,0
715,2176,18,0
716,2176,13,0
717,2183,20,0
718,2184,20,0
719,2184,18,0
720,2185,11,0
721,2189,13,0
722,2193,15,0
723,2196,5,0
724,2196,3,0
725,2199,4,0
726,2201,3,0
727,2203,4,0
728,2203,0,0
729,2214,0,0
730,2216,0,0
731,2217,0,0
