time,num_completed,total_wait,abandon
2157,1,14,0
2158,1,15,0
2159,1,15,0
2162,1,16,0
2163,1,15,0
2169,1,20,0
2170,1,18,0
2174,1,22,0
2175,1,19,0
2176,2,31,0
2183,1,20,0
2184,2,38,0
2185,1,11,0
2189,1,13,0
2193,1,15,0
2196,2,8,0
2199,1,4,0
2201,1,3,0
2203,2,4,0
2214,1,0,0
2216,1,0,0
2217,1,0,0
2222,1,0,0
2225,1,0,0
2228,1,0,0
2231,1,0,0
2239,1,0,0
2242,1,0,0
2245,1,0,0
2248,1,0,0
2251,2,0,0
2262,1,0,0
2267,1,0,0
2271,1,0,0
2273,1,0,0
2276,1,0,0
2280,1,0,0
2282,2,0,0
2284,1,0,0
2285,1,0,0
2289,1,0,0
2291,1,0,0
2292,1,0,0
2293,1,1,0
2301,1,6,0
2306,1,9,0
2310,1,12,0
2314,1,10,0
2316,1,10,0
2318,1,12,0
2320,1,13,0
2321,2,21,0
2322,1,7,0
2332,1,12,0
2337,1,17,0
2338,1,17,0
2342,1,18,0
2345,1,21,0
2346,1,14,0
2348,1,15,0
2351,2,31,0
2353,1,16,0
2368,2,58,0
2370,1,27,0
2371,1,27,0
2374,1,28,0
2375,2,55,0
2392,1,42,0
2396,1,46,0
2402,1,49,0
2404,2,96,0
2405,1,48,0
2409,2,89,0
2410,1,35,0
2413,1,36,0
2414,1,36,0
2417,1,38,0
2422,1,38,0
2428,1,43,0
2433,1,43,0
2442,1,50,0
2447,1,52,0
2448,1,50,0
2453,2,103,0
2457,1,51,0
2463,1,54,0
2466,2,105,1
2467,1,52,0
2469,1,17,1
2478,1,59,0
2481,1,14,1
2485,1,64,0
2491,1,66,0
2492,1,53,0
2496,1,53,0
2499,1,55,0
2504,1,60,0
2506,1,62,0
2510,1,59,0
2513,1,60,0
2518,1,65,0
2524,1,69,0
2527,1,71,0
2529,1,71,0
2534,1,73,0
2535,1,72,0
2536,1,72,0
2537,1,67,0
2544,2,138,0
2550,1,57,1
2551,1,75,0
2552,1,74,0
2553,1,66,0
2555,1,14,1
2564,1,76,0
2569,1,79,0
2570,3,185,1
2575,2,153,0
2579,1,78,0
2585,1,69,0
2587,1,68,0
2591,1,68,0
2593,1,70,0
2597,1,69,0
2601,1,73,0
2609,2,159,0
2610,1,36,1
2613,1,83,0
2614,1,76,0
2619,2,86,1
2627,1,70,0
2629,1,67,0
2632,1,69,0
2634,1,65,0
2635,1,59,0
2640,1,63,0
2643,1,55,0
2644,1,50,0
2645,1,48,0
2646,3,115,1
2648,1,44,0
2651,1,4,1
2657,1,53,1
2663,2,118,0
2665,1,51,0
2667,1,52,0
2668,1,51,0
2671,1,51,0
2676,1,53,0
2679,3,159,1
2688,1,57,0
2689,2,82,0
2693,1,39,0
2696,1,39,0
2697,1,39,0
2704,2,84,0
2705,1,40,0
2706,1,39,0
2710,1,42,0
2713,1,40,0
2714,1,41,0
2715,1,40,0
2716,1,39,0
2730,1,52,0
2732,1,50,0
2733,1,50,0
2736,1,19,1
2738,2,109,0
2741,1,46,0
2743,1,46,0
2745,1,42,0
2749,1,44,0
2750,1,41,0
2753,2,79,0
2754,1,35,0
2758,1,38,0
2760,2,68,0
2763,2,57,0
2770,1,31,0
2775,1,34,0
2779,1,38,0
2787,1,42,0
2789,1,44,0
2790,1,45,0
2791,1,42,0
2793,1,44,0
2794,1,45,0
2795,1,37,0
2797,1,36,0
2798,1,34,0
2802,1,38,0
2805,1,41,0
2807,1,33,1
2809,1,31,0
2816,1,37,0
2817,1,37,0
2818,1,35,0
2821,2,65,0
2827,1,27,0
2828,1,25,0
2830,1,26,0
2833,1,21,0
2839,1,25,0
2841,2,47,0
2842,1,22,0
2848,1,21,0
2850,1,18,0
2851,1,18,0
2853,1,16,0
2858,2,28,0
2861,1,3,0
2867,1,5,0
2870,1,2,0
2877,1,7,0
2878,2,9,0
2882,2,8,1
2883,1,2,0
2884,1,1,0
2893,1,9,0
2898,1,0,0
2903,1,0,0
2905,1,0,0
2908,1,0,0
2909,1,0,0
2911,1,0,0
2915,1,0,0
2919,1,0,0
2929,1,0,0
2930,1,0,0
2931,1,0,0
2948,1,0,0
2950,1,0,0
2957,1,0,0
2958,1,0,0
2962,1,0,0
2965,1,0,0
2970,1,0,0
2973,1,0,0
2976,1,0,0
2979,1,0,0
2981,1,0,0
2984,1,0,0
2985,1,0,0
2987,2,0,0
2988,1,0,0
2993,1,0,0
2995,1,0,0
2996,2,0,0
2997,1,0,0
3016,1,0,0
3019,1,0,0
3022,2,0,0
3024,1,0,0
3027,1,0,0
3028,1,0,0
3029,2,0,0
3034,1,0,0
3035,1,0,0
3036,1,0,0
3042,1,0,0
3045,1,2,0
3052,1,7,0
3053,1,6,0
3055,1,8,0
3060,1,9,0
3069,1,9,1
3071,1,18,0
3074,1,17,0
3079,1,19,0
3084,1,20,0
3086,2,26,0
3088,1,14,0
3094,1,19,0
3097,1,15,0
3098,1,15,0
3099,1,12,0
3100,1,2,1
3105,1,16,0
3108,1,19,0
3109,1,13,0
3111,1,12,0
3112,1,13,0
3114,2,22,0
3115,1,3,0
3124,1,0,0
3126,1,0,0
3129,3,0,0
3131,1,1,0
3136,1,4,0
3138,1,0,0
3139,1,1,0
3142,1,0,0
3146,1,2,0
3153,1,8,0
3154,1,0,0
3156,1,0,0
3159,1,0,0
3160,1,1,0
3161,1,0,0
3163,1,2,0
3166,1,0,0
3167,1,0,0
3171,1,0,0
3178,1,6,0
3181,1,3,0
3184,1,0,0
3197,3,0,0
3199,1,0,0
3201,1,2,0
3203,1,1,0
3206,1,0,0
3207,1,0,0
3208,1,0,0
3217,2,7,0
3227,1,9,0
3235,1,16,0
3238,1,15,0
3249,1,21,0
3250,1,16,0
3253,1,12,0
3261,1,20,0
3264,1,22,0
3265,1,22,0
3267,1,17,0
3271,1,21,0
3274,1,22,0
3275,1,23,0
3277,2,36,0
3279,1,9,0
3282,1,11,0
3287,1,10,0
3289,1,10,0
3293,1,7,0
3294,1,7,0
3296,1,3,0
3297,1,0,0
3299,1,0,0
3301,1,0,0
3302,1,0,0
3306,2,0,0
3307,1,0,0
3314,1,5,0
3321,1,9,0
3332,1,17,0
3334,2,24,0
3335,1,9,0
3336,1,10,0
3339,1,10,0
3345,1,15,0
3347,2,27,0
3352,2,22,0
3354,1,11,0
3356,1,12,0
3358,1,14,0
3361,1,16,0
3367,1,19,0
3368,1,15,0
3371,1,11,0
3376,1,14,0
3377,1,9,0
3379,1,10,0
3380,1,11,0
3383,1,12,0
3389,1,18,0
3391,1,16,0
3392,2,26,1
3394,1,12,0
3403,1,3,1
3406,1,14,0
3409,1,16,0
3412,1,19,0
3415,1,18,0
3417,1,20,0
3422,1,24,0
3428,1,12,1
3429,1,31,0
3437,1,36,0
3438,1,34,0
3440,1,35,0
3448,1,42,0
3450,1,40,0
3454,2,61,0
3455,1,26,0
3462,1,33,0
3463,1,31,0
3470,1,20,1
3471,1,33,0
3472,1,34,0
3475,1,32,1
3484,1,41,0
3487,1,32,0
3490,1,33,0
3497,1,38,0
3499,1,4,1
3504,1,41,0
3506,1,36,0
3508,1,17,1
3509,1,36,0
3510,1,33,0
3512,1,34,0
3515,1,4,1
3519,1,39,0
3521,1,41,0
3524,1,43,0
3534,1,51,0
3535,1,8,1
3537,1,51,0
3542,1,53,0
3543,1,16,1
3545,2,81,1
3546,2,104,1
3549,2,110,0
3552,1,57,0
3554,2,56,1
3555,1,45,0
3556,1,45,0
3565,1,54,0
3568,2,112,0
3569,1,57,0
3570,1,57,0
3577,1,61,0
3583,1,64,0
3585,2,99,1
3587,2,108,0
3588,1,48,0
3595,1,55,0
